,recall@1,recall@5,recall@10,average_bitwidth
0,7.643779342723005,23.488849765258216,35.10856807511737,8
1,34.33098591549296,59.88849765258216,70.55457746478874,9
2,68.03110328638498,86.23826291079813,90.5956572769953,10
3,69.63028169014085,86.97183098591549,90.81572769953051,11
4,70.61326291079813,87.4706572769953,91.7400234741784,12
5,71.61091549295774,87.72007042253522,91.84272300469483,13
6,71.9043427230047,88.02816901408451,92.10680751173709,14
